Domain Name,Category,Third Party Requests,Ad Counts,First Party Cookies,Third Party Cookies
www.virginia.edu,Virginia University,37,0,0.0,0.0
www.cnu.edu,Virginia University,18,0,0.0,0.0
www.jmu.edu,Virginia University,8,0,0.0,0.0
www.longwood.edu,Virginia University,11,0,0.0,0.0
www.nsu.edu,Virginia University,21,0,4.0,0.0
www.odu.edu,Virginia University,9,0,0.0,0.0
www.radford.edu,Virginia University,11,0,1.0,0.0
www.uvawise.edu,Virginia University,5,0,0.0,0.0
www.vcu.edu,Virginia University,10,0,0.0,0.0
www.vmi.edu,Virginia University,10,0,0.0,0.0
www.vsu.edu,Virginia University,11,0,0.0,0.0
www.vt.edu,Virginia University,10,0,0.0,0.0
www.wm.edu,Virginia University,11,0,0.0,0.0
www.brcc.edu,Virginia University,23,0,0.0,0.0
www.mgcc.edu,Virginia University,11,0,0.0,0.0
www.danville.edu,Virginia University,13,0,0.0,0.0
www.germanna.edu,Virginia University,9,0,0.0,0.0
www.reynolds.edu,Virginia University,23,0,0.0,0.0
www.brightpoint.edu,Virginia University,8,0,5.0,0.0
www.nvcc.edu,Virginia University,3,0,,
www.liberty.edu,Virginia University,12,0,3.0,1.0
www.lynchburg.edu,Virginia University,33,0,0.0,0.0
www.marymount.edu,Virginia University,16,0,0.0,0.0
www.randolphcollege.edu,Virginia University,39,0,,
www.vwu.edu,Virginia University,8,0,1.0,0.0
google.com,Search Engine,0,34,0.0,3.0
google.com,Pirated Streaming,5,34,0.0,3.0
youtube.com,Social Media,10,19,0.0,4.0
facebook.com,Social Media,1,8,0.0,2.0
twitter.com,Social Media,5,11,0.0,4.0
instagram.com,Social Media,14,14,0.0,0.0
baidu.com,Tech,0,22,0.0,3.0
wikipedia.org,Research,2,10,2.0,3.0
yandex.ru,Search Engine,3,34,0.0,11.0
yahoo.com,Search Engine,43,50,0.0,0.0
xvideos.com,Adult Content,4,34,0.0,2.0
whatsapp.com,Messaging,1,16,0.0,3.0
pornhub.com,Adult Content,2,7,0.0,2.0
xnxx.com,Adult Content,4,16,0.0,2.0
paypal.com,Payment Service,7,20,0.0,9.0
yahoo.co.jp,Search Engine,4,8,0.0,2.0
live.com,Tech,0,24,0.0,3.0
netflix.com,Legal Streaming,2,64,0.0,4.0
reddit.com,Social Media,15,16,0.0,7.0
tiktok.com,Social Media,48,36,0.0,3.0
openai.com,Tech,4,3,0.0,0.0
linkedin.com,Social Media,2,5,,
office.com,Tech,6,20,0.0,4.0
samsung.com,Tech,16,71,,
turbopages.org,Tech,3,18,0.0,1.0
vk.com,Social Media,10,9,0.0,5.0
xhamster.com,Adult Content,4,6,,
weather.com,Weather,10,90,0.0,1.0
twitch.tv,Legal Streaming,5,21,0.0,3.0
mail.ru,Email,5,30,0.0,4.0
naver.com,,7,4,0.0,0.0
discord.com,Social Media,8,6,,
bing.com,,23,11,1.0,10.0
roblox.com,,117,8,0.0,2.0
craigslist.com,,3,18,0.0,2.0
NBA.com,,35,44,0.0,0.0
pinterest.com,,32,10,0.0,4.0
zoom.us,,15,59,1.0,6.0
qq.com,,12,16,0.0,0.0
duckduckgo.com,,8,34,0.0,0.0
microsoft.com,,0,37,0.0,0.0
fandom.com,,8,15,0.0,3.0
quora.com,,5,14,,
news.yahoo.co.jp,,6,8,0.0,4.0
nfl.com,,9,51,0.0,0.0
ebay.com,,6,21,0.0,5.0
msn.com,,4,4,0.0,8.0
globo.com,,6,138,0.0,0.0
apple.com,Tech,9,42,0.0,1.0
booking.com,Travel,39,39,0.0,4.0
ok.ru,Social Media,2,17,1.0,2.0
www.buffstreams.ai,Pirated Streaming,3,1,,
www.methstreams.com,Pirated Streaming,4,2,,
www.easybib.com,Pirated Streaming,17,19,0.0,5.0
www.azmovies.net,Pirated Streaming,14,20,,
www.solarmovie.one,Pirated Streaming,2,1,,
www.free123movies.quest,Pirated Streaming,1,9,,
www.himoves.sx,Pirated Streaming,1,2,,
www.moviesjoy.cc,Pirated Streaming,11,14,,
ww4.fmovies.co,Pirated Streaming,0,7,0.0,0.0
www.123chill.site,Pirated Streaming,11,33,,
www.primewire.mx,Pirated Streaming,6,12,,
www.yidio.com,Pirated Streaming,4,8,,
www.sflix.to,Pirated Streaming,6,14,,
www.vexmovies.uno,Pirated Streaming,6,6,,
www.afdah2.com,Pirated Streaming,1,18,0.0,0.0
www.filmzie.com,Pirated Streaming,4,23,0.0,2.0
www.veoh.com,Pirated Streaming,7,13,2.0,0.0
www.plex.tv,Pirated Streaming,13,83,0.0,0.0
www.vidcloud.store,Pirated Streaming,2,0,,
www.myflixerz.to,Pirated Streaming,6,11,,
www.viprow.nu,Pirated Streaming,3,1,0.0,1.0
www.vipbox.lc,Pirated Streaming,3,2,0.0,1.0
www.bosscast.eu,Pirated Streaming,6,16,0.0,3.0
www.olympicstreams.me,Pirated Streaming,3,3,0.0,1.0
